name,ilosc_patentow
CZYSZ DARIUSZ,29
HE CHAOBIN,112
KORMAN KLAUDIA,19
WOJSZNIS WILHELM,255
CIESLIKOWSKI BARTOSZ,116
ANDERSSON LARS,500
WAWRO DARIUSZ,16
NASILOWSKI TOMASZ,41
PAWLOWSKI ANDRZEJ,17
KOSTKA LUKASZ,43
CELEWICZ LECH,30
NIEWCZAS JAROSLAW,42
KORDYBACH KRZYSZTOF,79
MILCZARSKI KAZIMIERZ,25
CYSEWSKI ROBERT,55
ARRIETA HERNAN,32
MISKIEWICZ PAWEL,122
GUMULA STANISLAW,37
KIMIZUKA NOBORU,153
FUDALA ANDRZEJ,30
NIKOLIN PRZEMYSLAW,18
KARBOWNICZEK JACEK,73
WALCZAK ROBERT,31
KLAK MICHAL,21
SYGNAROWICZ DANIEL,18
BOBROWICZ PIOTR,132
DZIUBINSKI MAREK,27
SIEMIENCZUK TOMASZ,31
MILKOWSKI BOGUMIL,23
HORIE KENSAKU,30
ZREDA ROBERT,27
MIKOSZEK-OPERCHALSKA MARZENA,24
OWCZAREK RADOSLAW,81
STOCHEL GRAZYNA,20
WISNIEWSKA-WRONA MARIA,20
PAWLAK KRYSTIAN,14
GLEBOCKA AGNIESZKA,51
KORECKI MACIEJ,22
WALCZAK MARIUSZ,23
CICHONSKI DARIUSZ,25
KRUPA ANDRZEJ,21
SUDWOJ GREGORY,18
MISKOWICZ MAREK,48
KLIMEK ANDRZEJ,43
WYSOCKA-SKRZELA BARBARA,22
HOLDYNSKI ZBIGNIEW,22
GOLAND DAVID,39
DOMINIAK DOMINIK,32
LESZCZYNSKI MICHAL,24
MAJEWSKI STANISLAW,79
PACHOLSKI ADAM,22
RELIGA ZBIGNIEW,23
SZYMANSKI MACIEJ,31
KIVEKAES OLLI,40
WIMMER MARKUS,122
DUDZINSKI KRZYSZTOF,25
BALCEREK PRZEMYSLAW,59
LACHOWICZ ARTUR,87
GRADON LEON,32
PISKORZ TOMASZ,28
LAZARCZYK MICHAL,16
LIPKA JANUSZ,18
WOHL ALFRED,22
RUSIN KATARZYNA,27
KUCZAJ ARKADIUSZ,19
WOJCIECHOWSKI WIKTOR,15
DUDA MARIUSZ,33
BEDNAROWSKI DARIUSZ,39
MARSZALEK JAN,14
WIECZOREK GRZEGORZ,20
ROLLE KATARZYNA,19
MILIK MARIUSZ,37
CIECHOMSKI TOMASZ,46
WAKSMUNDZKI JACEK,17
CHABOWSKI ANDRZEJ,17
CHOJNACKI WOJCIECH,75
KUBIAK TERESA,31
CZAJKA PAWEL,19
KOZLOWSKI RYSZARD,24
KURZEPA LUKASZ,16
STAFIEJ ANDRZEJ,20
MOSTOWSKI ROBERT,14
OLSZEWSKI RADOSLAW,22
CHOLODY WIESLAW,57
KLOSSOWSKI SZYMON,15
KLAJNY MARCIN,17
DEBNIAK TADEUSZ,15
MAREK ADAM,21
KOTARBA ANDRZEJ,15
BLONSKI PAWEL,18
PADLO EWA,23
KRUEGER ANDRZEJ,14
LUCZAK ADAM,18
RYNKIEWICZ ROBERT,20
OKONIEWSKA MONIKA,79
MIKIEWICZ-SYGULA DIANA,28
MICHALIK ADAM,23
DUBNICKI CEZARY,100
KULESZA ANNA,45
OKADA KOICHI,1267
WROBEL MIROSLAW,84
FAM RENATA,30
FLEURY ERIC,36
LANGE FRIEDRICH,47
JOHN MARTIN,319
HILTMANN FRANK,185
TYLOCH ARTUR,14
CHOLUJ MARIUSZ,18
PYZIK ALEKSANDER,307
HUFF FREDERICK,58
KASZTENNY BOGDAN,19
IWASAKI KENTARO,141
KRUPA ROBERT,34
HUSKOWSKA TERESA,33
CZARNECKI PIOTR,21
PAKULSKI MACIEJ,34
GUTERMAN JERZY,78
WIERZBA KONSTANTY,50
KRYSZCZYNSKI TADEUSZ,15
SICINSKI RAFAL,350
MAMERSKI MARCIN,29
CZERWIENIEC RAFAL,73
LEWANDOWSKI DANIEL,28
ROSSOW HAROLD,66
SAWICKI PIOTR,19
RIEDEL MICHAEL,229
ALBRECHT ZBYNEK,19
OMBACH GRZEGORZ,69
WIECZOREK WLADYSLAW,19
SZYMANSKI MAREK,63
WODKA DARIUSZ,66
GAMIAN ANDRZEJ,44
JANKOWSKI KRYSTOF,19
BUDYN MAREK,16
GOSIEWSKA ANNA,261
SIERZPUTOWSKI LESZEK,113
BIENIEK MICHAL,40
KOCZARA WLODZIMIERZ,34
DANIEWSKI ANDRZEJ,43
MACH TOMASZ,49
BOROWSKI EDWARD,79
DUDZIEC BEATA,21
MANSURI MUZAMMIL,87
KONDRATOWICZ FILIP,33
SZEWCZYK BOGUSLAW,23
ZIELENKIEWICZ PIOTR,22
LAINE JAAKKO,19
KRASINSKI ANTONI,82
PERNAK JULIUSZ,28
TUROWSKI MACIEJ,37
SAITO HIROFUMI,128
SARNA WOJCIECH,48
KOZIOL STANISLAW,43
KOSTANSKI JANUSZ,21
WALUKIEWICZ WLADYSLAW,59
KOZAK RADOSLAW,15
NOWAK KRZYSZTOF,73
JABLKIEWICZ JERZY,16
SZCZEPANSKI TOMASZ,26
BYRSKI TOMASZ,19
ZUBER KAMIL,14
ROZWADOWSKI MARCIN,17
SCHMIDTKE JAKUB,27
KRAMEK KRZYSZTOF,22
HAINTZE ANDRZEJ,23
MILEWSKI MAREK,16
LACHOWICZ AGATA,51
BARANOWSKI MAREK,29
OSTROGORSKA MAGDALENA,19
KNAPCZYK MARCIN,22
SULOWSKI ROBERT,21
ZAJAC PIOTR,17
MACZYNSKI ANDRZEJ,16
CZYZEWSKI ANDRZEJ,14
KUSINSKI GRZEGORZ,99
HOLENDERSKI LESZEK,25
ZIELINSKA DARIA,22
DRAZYNSKI KAROL,67
LACH PIOTR,20
WYRZYKIEWICZ TADEUSZ,19
MALEIKA ROBERT,86
GOVINDARAJAN PRIYA,19
NOBLE PAUL,49
JARNUSZKIEWICZ STANISLAW,16
SZNITOWSKA MALGORZAT,14
BLACH-OLSZEWSKA ZOFIA,17
HUZARSKI TOMASZ,18
PAROSA RYSZARD,32
PASTERNAK MACIEJ,85
KUDLATY KATARZYNA,14
KLUKOWSKA MALGORZATA,26
KOTT RYSZARD,24
INGLOT ANNA,30
SWIETOSLAWSKI JANUSZ,19
LEJKOWSKI MICHAEL,25
BUKOWSKI RADOSLAW,26
CHUDOBA TADEUSZ,14
SKOWRONEK KRZYSZTOF,21
BOROWICZ PIOTR,21
WOJDYLA ADAM,15
DUDA LUDOMIR,15
FITAK HANNA,23
MEILLAN JEAN-PIERRE,24
SAMARDAKIEWICZ BARTLOMIEJ,15
GORAL DAMIAN,14
STEFANIAK FILIP,23
TARGOWSKI PIOTR,15
LAGIEWKA MARCIN,19
TRZESNIOWSKI SLAWOMIR,27
ZIEMBICKI LUKASZ,14
PERNER BARBARA,14
ROSE-JOHN STEFAN,92
LUKASIEWICZ JOLANTA,25
BUJOK ROBERT,43
STRUNCK SVEN,20
DABROWSKI JAROSLAW,31
PAPROTNY JERZY,19
RYCHLEWSKI LESZEK,17
MIRONETS SERGEY,152
PIKUL STANISLAW,157
NOWAKOWSKI ANDRZEJ,92
WANG YANMIN,425
GOLIK JERZY,84
GALESKA IZABELA,47
MILEWSKA ALEKSANDRA,14
PACZKOWSKI JACEK,70
SZUBERSKI OKTAWIAN,20
KALINSKI PAWEL,21
KOWALCZYK AGNIESZKA,55
FOKT IZABELA,92
FIDKOWSKI ZBIGNIEW,76
SZOSTEK DAWID,59
GAJEWSKA HANIA,22
SKOCZYNSKI WOJCIECH,24
SAITO NAOYA,152
LASZCZ MARTA,24
SOWINSKI PAWEL,22
KICZKA WITOLD,38
OLEK MACIEJ,24
BATOG BARBARA,26
URBANOWSKI ALOJZY,37
MACHA ALEKSANDER,14
PLOCHOCKA KRYSTYNA,107
BURGHARDT ANDRE,87
GAWEL MAREK,105
RACZ ROBERT,96
SZNAJDER MICHAL,18
MACIEJEWSKI HIERONIM,34
WIELGOSZ MARCIN,39
KRAWIEC MARIUSZ,145
SKRZYSZEWSKA MALGORZATA,24
ROZEN PIOTR,15
SZOSTEK LUKASZ,39
PIECZUL OLGIERD,47
KOSCIELNIK DARIUSZ,44
KOKOT PIOTR,20
SLOWKO WITOLD,19
GONSIOR LUKASZ,15
BARYCKI RAFAL,81
LABUZ PRZEMYSLAW,19
FOGEL ROBERT,17
BZYMEK KRZYSZTOF,19
GOLCZ ANDRZEJ,19
MYCEK MARCIN,19
RYBAKOWSKI MARCIN,21
POLAK JAN,15
CIUPIK LECHOSLAW,49
KACZMAREK LUKASZ,26
NIEKRASZEWICZ ANTONI,38
WICHARY MARCIN,27
JARZYNSKI GRZEGORZ,19
STAWINSKI TOMASZ,58
FRICKE THOMAS,39
ADAMSKI PAWEL,40
MIGASZEWSKI FRANCISZEK,17
MROWIEC ROBERT,23
CIEPLY PRZEMYSLAW,14
PIASECKI WOJCIECH,91
BACHORZ LUKASZ,19
CUTLER STEPHEN,36
JURCZAKOWSKI RAFAL,33
NOWAK IRENEUSZ,32
JAKIELA SLAWOMIR,14
GRZESIK RADOSLAW,27
LOS PRZEMYSLAW,46
SULIKOWSKI DANIEL,26
DOMINIAK RYSZARD,32
WESOLOWSKA ANNA,26
WEBER ADRIAN,18
RAPAPORT JEFFREY,16
BOREK ALEKSANDER,15
JEDRYCZKA CEZARY,45
BIALIK JANUSZ,22
KRAJEWSKI KRZYSZTOF,20
WASILEWSKI LESZEK,24
CMOCH PIOTR,15
BIALKOWSKI MICHAL,17
KASZUBA ANDRZEJ,65
FIGARSKI JACEK,44
NOWICKI ADAM,17
GRESZTA FRANZ,15
MATUSZEWSKI MARCIN,36
MAZURKIEWICZ MARIAN,33
MALKOWSKA RENATA,15
PIETRASZEK TADEUSZ,17
HOLYST ROBERT,18
SZCZEPANIAK GRZEGORZ,15
NOWAK JANUSZ,32
PIERINI FILIPPO,19
BEDNARZ RYSZARD,15
WAWRZYCZEK JOANNA,14
BRZOZKA KRZYSZTOF,28
CZUBAK ROMAN,21
OSOWSKI LUKASZ,16
LICHOTA KRZYSZTOF,18
FALKOWSKI LEONARD,26
STRZYZ STANISLAW,20
KOWALCZYK BOGDAN,26
GRONWALD JACEK,19
SASIN SZYMON,23
WEDA PAWEL,15
LUCZAJ KRZYSZTOF,17
DROZDZAK RENATA,22
ADAMUS JAN,21
KUSTOSZ ROMAN,14
OZGA DANIEL,19
PIOTROWSKI JERZY,14
STANKIEWICZ OLGIERD,28
FOGT JOANNA,15
WASZKIEWICZ ARKADIUSZ,17
TANAKA SHINYA,1689
KARCZEWICZ MARTA,3730
TROJNAR JERZY,61
BARON BERNARD,54
JANCZUK TOMASZ,30
LATA ZBIGNIEW,14
GORA JACEK,31
KLAMCZYNSKI KATHARINE,36
SZCZEPANIK JAN,64
BROJEK WIESLAW,14
DANYSZ WOJCIECH,119
ZHENG KUN,284
KOWALSKI JACEK,229
WOJCIECHOWSKI JAKOB,14
SAMULEWICZ ALEKSANDRA,19
JAKUBIAK ANTONI,23
DE FILIPPO,119
KONDRAD LUKASZ,56
WEIGEL JUERGEN,66
CRAMER FRIEDRICH,34
ROMANSKI GRZEGORZ,34
RAHIM MARUFUR,43
BOBER MIROSLAW,329
KOWALSKI ANDRZEJ,19
BUGYI RAFAL,39
WAWROWSKI MARIUSZ,38
LUCZAK ROBERT,17
RZESZUCINSKI PAWEL,23
NAWRAT KRYSTIAN,14
KRAWCZYK GRZEGORZ,24
PIOTROWSKI ZYGMUNT,24
CYNKOWSKA GRAZYNA,47
LUPINA GRZEGORZ,19
WISNIEWSKI KAZIMIERZ,85
NAWROCKI PIOTR,36
KACZMAREK KRZYSZTOF,23
WIDLA WALDEMAR,36
FIGARSKI RADOSLAW,51
